ギャラリー珈琲巧房やまぶき,ぎゃらりーこーひーこうぼうやまぶき,0460501,北海道余市郡赤井川村 赤井川289,0135-34-6787,然別駅,然別駅から直線距離で7763m,海抜139m,コーヒー,43.08555107,140.81536992,https://r.gnavi.co.jp/5r84as7y0000/
やまでんファーム株式会社,やまでんふぁーむ,0460511,北海道余市郡赤井川村字日ノ出２０３,0135-34-7890,仁木駅,仁木駅から直線距離で7113m,海抜156m,カフェ,43.10282551,140.8233087,
アリス・ファームカフェ,ありすふぁーむかふぇ,0460511,北海道余市郡赤井川村字日ノ出２５３−１,0135-34-7778,仁木駅,仁木駅から直線距離で6808m,海抜176m,カフェ,43.10648057,140.82351956,
マンデリン喫茶,まんでりんきっさ,0791135,北海道赤平市 錦町2-4-2,0125-32-3430,赤平駅,赤平駅から直線距離で197m,海抜54m,喫茶店・軽食,43.55655714,142.04814857,https://r.gnavi.co.jp/3jn01h6m0000/
ワンピース,わんぴーす,0791136,北海道赤平市本町２丁目４−３,0125-32-6196,赤平駅,赤平駅から直線距離で285m,海抜55m,"喫茶店
居酒屋",43.55678264,142.0508111,
Cafe Luft,かふぇるふと,0791141,北海道赤平市 大町1-6-6,0125-74-8073,赤平駅,赤平駅から直線距離で570m,海抜56m,カフェ,43.55238031,142.05477328,https://r.gnavi.co.jp/5v6px2460000/
いたがきcafe,いたがきかふぇ,0791102,北海道赤平市 幌岡町113 鞄いたがき 赤平本店1F,0125-32-0525,赤平駅,赤平駅から直線距離で3630m,海抜84m,カフェ,43.58257188,142.02487665,https://r.gnavi.co.jp/7t1c5ec90000/
ひまわり,ひまわり,0791263,北海道赤平市茂尻本町３丁目１３,0125-32-2476,茂尻駅,茂尻駅から直線距離で818m,海抜72m,甘味処,43.53770025,142.09228906,
茜屋珈琲店,あかねやこーひーてん,0700000,北海道旭川市 7条通8-38-10 西川徹郎文学館,0166-25-8700,旭川駅,旭川駅から直線距離で1068m,海抜110m,コーヒー,43.77173792,142.36330175,https://r.gnavi.co.jp/d5p9za4b0000/
ギャラリープルプル,ぎゃらりーぷるぷる,0700037,北海道旭川市７条通８丁目,0166-73-8289,旭川駅,旭川駅から直線距離で1060m,海抜110m,カフェ,43.77166696,142.36328237,
OMO Cafe ＆ Bar,おもかふぇあんどばる,0788216,北海道旭川市 6条通9 星野リゾート OMO7 旭川 1F,0166-29-2777,旭川駅,旭川駅から直線距離で946m,海抜111m,カフェ,43.77030215,142.36403687,https://r.gnavi.co.jp/2nftn1hn0000/
喫茶 だまり,きっさひだまり,0700037,北海道旭川市 七条通8-38-4,0166-26-5543,旭川駅,旭川駅から直線距離で1044m,海抜110m,喫茶店・軽食,43.77155452,142.36310726,https://r.gnavi.co.jp/pd1g1jyv0000/
スヌス,すぬす,0700037,北海道旭川市 七条通8-左2,0166-27-7000,旭川駅,旭川駅から直線距離で1108m,海抜110m,カフェ,43.77216012,142.36314345,https://r.gnavi.co.jp/95657t3n0000/
ルル,るる,0700036,北海道旭川市 6条通8-右5,0166-22-7911,旭川駅,旭川駅から直線距離で937m,海抜111m,喫茶店・軽食,43.77071292,142.36240178,https://r.gnavi.co.jp/ajxwpu750000/
石渡紅茶本店,いしわたこうちゃほんてん,0700036,北海道旭川市 六条通10-54-15,0166-26-2224,旭川駅,旭川駅から直線距離で948m,海抜112m,喫茶店・軽食,43.7692827,142.36622647,https://r.gnavi.co.jp/gb6r12w60000/
笛園,ふえぞの,0700036,北海道旭川市 六条通7-31,0166-23-8215,旭川駅,旭川駅から直線距離で1010m,海抜110m,喫茶店・軽食,43.7714712,142.36208787,https://r.gnavi.co.jp/65ayahfa0000/
神田珈琲園,かんだこーひーえん,0700039,北海道旭川市 9条通8,0166-26-2016,旭川駅,旭川駅から直線距離で1350m,海抜109m,カフェ,43.77408761,142.3646125,https://r.gnavi.co.jp/r5k3vcnh0000/
モンテローザ喫茶,もんてろーざきつさ,0700035,北海道旭川市５条通８丁目右４,0166-24-5335,旭川駅,旭川駅から直線距離で828m,海抜111m,喫茶店,43.76968657,142.36234928,
ベリーカフェ ラ・フェリーチェ,べりーかふぇらふぇりーちぇ,0788216,北海道旭川市 6条通7-30-1 エクセルA1ビル 1F,0166-25-2021,旭川駅,旭川駅から直線距離で948m,海抜110m,カフェ,43.77110729,142.36082709,https://r.gnavi.co.jp/1c4h143n0000/
前川茶舗,まえかわちゃほ,0700000,北海道旭川市 5条通8右1 買い物公園,0166-23-2072,旭川駅,旭川駅から直線距離で796m,海抜111m,喫茶店・軽食,43.76957703,142.36157151,https://r.gnavi.co.jp/2x2hp5bj0000/
